Title,IMDb Link,Release Year,Country of Origin (Production),IMDb Logline,IMDb Poster,IMDb Still,Dall-E 3 Image,DALL- E 3 Grounded Prompt,DALL-E 3 Logline,DALL-E 3 Poster,ChatGPT STILL ,GPT Still prompt,GPT Logline,GPT Poster,GPT Title ,"GPT Image - ""Lesbian"" omitted","GPT Poster - ""Lesbian"" omitted"
,,,,,,,DATASET 1,DATASET 2,DATASET 3,DATASET 4,DATASET 5,DATASET 6,DATASET 7,DATASET 8,DATASET 9,DATASET 10,DATASET 11
,,,,,,,Create an image inspired by the Lesbian film [title].,,Create a logline for a Lesbian film based on this first image?,Create a film poster for a Lesbian film with the logline: [add logline based on generated image]. Be sure to include a title.,Create a still inspired by the Lesbian film [title].,Can you share how you adapted the prompt for this image?,Create a logline for a Lesbian film based on the image?,Create a film poster for a Lesbian film with the logline [add logline from DATASET 7] Be sure to add a title,,Create an image based on this: [add log line from DATASET 7],Create a film poster for: [title from DATASET 9]
Portrait of a Lady on Fire,https://www.imdb.com/title/tt8613070/,2019,France,"In 18th-century France, a painter is commissioned to paint a wedding portrait of a reluctant bride-to-be, and the two women form an intense romantic bond.",,,,"A romantic, painterly scene inspired by 18th-century France, set on a windswept cliff overlooking the sea at sunset. Two women in flowing period dresses stand close to each other, one with dark curly hair and the other with blonde hair in a bun. They exchange an intense, emotional gaze, their hands nearly touching. The atmosphere is intimate and quiet, with warm, golden light from the sunset casting soft shadows. The ocean in the background is calm, with waves gently crashing on the shore. The color palette is muted and elegant — soft blues, creams, and earthy tones. The image evokes longing, intimacy, and quiet passion.","On the rugged coast of 18th-century France, a reclusive painter is commissioned to capture the portrait of a noblewoman promised to another—but as brush meets canvas, a forbidden connection ignites, threatening both their futures and awakening a love neither dared imagine.",,,"""A frame from Portrait of a Lady on Fire captures two women in the soft glow of a single candle, subtly illuminated by its warm light as they share a moment in a muted, almost timeless room. The contrast of warm golden hues from the candle against the cool blues and earthy tones of the women’s attire and the room builds depth, with one woman gazing toward the other as she stands adorned with a palette and brush, their expressions and poses speaking volumes in this intimate, painterly scene.""","When a reserved heiress hires a quiet painter to sit for a portrait, their candlelit sittings kindle a forbidden romance that forces them to choose between duty, reputation—and the life they secretly long for.",,Candlight Portrait,,
Carol,https://www.imdb.com/title/tt2402927/,2015,United Kingdom; United States,"An aspiring photographer develops an intimate relationship with an older woman in 1950s New York, defying social norms.",,,,"A 1950s-inspired winter café scene featuring two elegant women. One woman, blonde and poised, wears a fur-trimmed beige coat, red lipstick, and vintage gloves. She sits gracefully, holding a cup of coffee. Across from her is a younger woman with short dark hair, wearing a beret and a plaid coat, gazing at the blonde woman with quiet emotion. The café is softly lit with warm, vintage tones, and a snowy city scene is visible through the frosted window behind them. The mood is intimate, romantic, and cinematic, evoking a classic mid-century aesthetic.","In the snow-draped winter of 1954 New York, a chance encounter between a reserved young photographer and a poised, enigmatic socialite in a quiet café sparks a forbidden connection that threatens to upend both their carefully constructed lives.",,,"A 1950s film photo captures a tender moment between two light-skinned women, their gazes meeting through a rain-splattered department store window. One, an older blonde in a camel wool coat and red scarf, gazes pensively at the younger brunette in a teal coat, while the soft glow from interior lighting and blurred shelves create a nostalgic, intimate setting. Photorealistic, portrait orientation, shallow depth of field, soft film grain, muted pastel palette, warm interior bokeh, cinematic framing, moody low-key lighting, subtle color grading, natural skin tones, no celebrity likenesses, do not copy any specific frame from the film.","In 1950s New York, a guarded socialite and a young department-store clerk spark an illicit attraction through a rain-streaked window — and must risk their reputations to choose love over the lives they're expected to lead.",,Through the Rain,,
Blue is the Warmest Color,https://www.imdb.com/title/tt2278871/,2013,France (Belgium; Spain Co-Prods),"Adèle’s life changes when she meets Emma, a young woman with blue hair, who helps her discover desire and her identity.",,,,"An emotionally intimate scene inspired by romantic cinema, featuring two young women sitting closely on a park bench during early morning. One woman has flowing blue hair, symbolizing emotional depth and passion, while the other has natural brown hair. They are looking into each other's eyes with tender expressions, hands gently touching. The background features soft trees with autumn leaves and a cool blue sky. The lighting is cinematic and painterly, with a subtle blue-toned palette evoking a moody and introspective atmosphere. The style is naturalistic, focused on emotion and connection.","In the quiet aftermath of heartbreak, a guarded art student and a free-spirited musician with striking blue hair form an unexpected connection on a park bench, discovering that love can bloom in the spaces between silence, sorrow, and self-discovery.",,,"In a tender, intimate moment captured in 35mm film, two young women sit close together with their foreheads touching, eyes gently closed. One has short, tousled brown hair, cradling the other’s head, while the blonde with wavy hair appears vulnerable, both bathed in soft lighting against a softly blurred café backdrop, where raindrops run down the window and golden bokeh lights add warmth.","When a chance, rain-soaked encounter in a dim café sparks a fragile romance between a guarded art student and a free-spirited barista, their secret intimacy forces them to confront family expectations and a buried past — and to decide whether love is worth upending the lives they’ve planned.",,Rain Kissed,,
Bound,https://www.imdb.com/title/tt0115736/,1996,United States,A woman seduces her gangster boyfriend’s mistress to steal millions of mob money in a neo-noir thriller of love and betrayal.,,,,"A cinematic, neo-noir style image of two women in a tense and intimate moment inside a dimly lit apartment at night. The room is lit by horizontal Venetian blinds casting sharp shadows across the walls and floor. One woman wears a black leather jacket and has short dark hair, standing confidently with a protective posture. The other woman wears a white tank top and has short blonde hair, looking up at her with a mix of trust and fear. In the background, an old safe is slightly open with bundles of cash spilling out, suggesting a heist. The scene has a moody, 1990s film noir atmosphere, with dramatic lighting and a suspenseful tone.","After stealing a fortune from a ruthless crime syndicate, a hardened ex-con and her secret lover must navigate a web of betrayal, desire, and violence—where trust is the only thing more dangerous than the truth.",,,"In a suspenseful neo-noir scene, two women share a charged, intimate moment under cool green lighting, with sharply contrasting shadows casting mystery around them. One woman, in a black blazer, gazes intently as she leans towards the other, a red-clad figure, while a glowing cigarette smolders between them and a rain-drenched cityscape glows faintly in the background.","A hardened fixer agrees to help a magnetic stranger steal a mob ledger — but when their risky con becomes a dangerous romance, desire and betrayal collide, and trusting each other may be the deadliest move either of them ever makes.",,Ledger & Lies,,
The Watermelon Woman,https://www.imdb.com/title/tt0118125/,1996,United States,A young Black lesbian filmmaker sets out to make a documentary about a forgotten 1930s Black actress known only as 'The Watermelon Woman.',,,,"A 1990s urban street scene inspired by the film 'The Watermelon Woman'. A young Black lesbian filmmaker stands on a sidewalk in Philadelphia, holding a vintage camcorder and wearing 90s-style clothing: denim overalls, a graphic T-shirt, and sneakers. Behind her is an indie video store with colorful movie posters and handwritten signs in the window. The scene includes small details like VHS tapes, rainbow pride stickers, and flyers promoting queer film events. The mood is warm and nostalgic, with soft lighting evoking a late afternoon sun. The overall aesthetic is intimate, artistic, and rooted in 90s queer culture.","In 1990s Philadelphia, a bold young Black lesbian filmmaker sets out to document the untold stories of queer women of color, uncovering a buried legacy that challenges her identity, her community, and the power of who gets remembered.",,,"A 35mm film still from The Watermelon Woman (1996) features a young African American woman relaxing by a pool at sunset, holding a ripe slice of watermelon with both hands. The warm light accentuates her serene expression and vibrant outfit, while a laughing woman and a pool with reflective water create a relaxed, nostalgic backdrop, all framed in striking, textured film grain and soft, muted colors.","During a slow, sunlit summer by a backyard pool, a guarded Black woman and her free-spirited friend fall into an unexpected romance that forces them to choose between safety and being seen.",,Be Seen,,
But I’m a Cheerleader,https://www.imdb.com/title/tt0179116/,1999,United States,A high school cheerleader is sent to a conversion therapy camp when her parents suspect she’s a lesbian.,,,,"A colorful, surreal scene inspired by the film 'But I’m a Cheerleader'. The setting is a hyper-feminine 1950s-style reform school with bright pink and pastel blue tones. A young woman wearing a classic cheerleader outfit (pink and white) stands confidently in front of a kitschy, dollhouse-like building. Surrounding her are exaggerated, vintage-style decorations—heart-shaped bushes, retro appliances, and stereotypical gendered symbols like ironing boards and footballs. The mood is both whimsical and satirical, with a dreamy, slightly surreal atmosphere that critiques gender roles. The lighting is bright and artificial, like a staged set.","At a pastel-hued reeducation camp where femininity is mandatory and rebellion comes in glitter and pom-poms, a defiant cheerleader begins to unravel the absurd world around her—discovering that true identity can’t be color-coded or choreographed.",,,"In a cute pastel-hued room, two cheerleaders share a moment of interaction. One with blonde hair, dressed in a vibrant pink uniform, holds oversized pom-poms while gazing curiously, and the other sporting reddish-brown hair in a mint green costume, smirks knowingly, resting her hands on her lap. The room, adorned with motivational posters, triangular flags, and soft lighting, creates a harmonious backdrop that complements the cheerful, animated exchange between the two. Photorealistic film-still style, soft warm lighting, shallow depth of field, cinematic composition, pastel pink and mint teal color palette, high detail, 3:2 aspect ratio.","In a pastel-perfect cheer room, a curious new recruit and the squad’s quietly knowing teammate spark an unexpected romance — forcing them to choose between the safety of the routine and the risk of cheering for who they really are.",,Cheer For Keeps,,
Imagine Me & You,https://www.imdb.com/title/tt0421994/,2005,United Kingdom; Germany,"At her wedding, a bride realizes she’s in love with another woman she just met, complicating her seemingly perfect life.",,,,"A romantic and cinematic scene inspired by the film 'Imagine Me & You'. Two women stand close together in a beautiful flower shop, surrounded by vibrant floral arrangements. One woman has short blonde hair and wears a stylish coat, while the other has long brunette hair and wears a soft, elegant dress. They are sharing a tender moment, looking into each other's eyes with love and warmth. The setting is softly lit, with sunlight filtering through large windows, creating a dreamy, emotional atmosphere. The scene conveys a feeling of unexpected love, intimacy, and connection.","When a soon-to-be bride unexpectedly locks eyes with a charming florist during a wedding consultation, a single glance blossoms into a love that challenges everything she thought she knew about happiness, commitment, and the meaning of true connection.",,,"Two adult women standing barefoot on a sandy beach at golden hour, holding hands and looking into each other’s eyes. One wears a simple off-white sundress, the other a light floral sundress. Warm, cinematic golden-hour lighting with soft backlight and gentle lens flare; intimate, tender mood. Shallow depth of field with soft bokeh, distant sailboat on the horizon, natural skin tones, subtle film grain and soft contrast. Framing: medium close-up (waist to head), eye-level, centered composition, slight ocean negative space. Photorealistic, 35mm lens look, f/2.8, high detail, cinematic color grading (warm amber highlights, soft teal shadows). Do not depict or resemble any real actors or public figures; original faces only.","A reserved graphic designer returns to her coastal hometown and falls into a tender, urgent summer romance with a free-spirited local—forcing her to choose between the safe life she planned and the love that finally feels like home.",,Home Like Summer,,
Saving Face,https://www.imdb.com/title/tt0384504/,2004,United States,"A Chinese-American surgeon struggles to balance her relationship with her girlfriend and her pregnant, traditional mother.",,,,"A romantic, heartfelt scene inspired by the film 'Saving Face', set in a cozy New York City apartment during the early 2000s. Two Asian-American women in their late 20s sit closely on a couch, holding hands and sharing a quiet, intimate moment. One is wearing a stylish but casual outfit, while the other is dressed in medical scrubs, hinting at her career as a surgeon. The apartment is warmly lit with string lights and decorated with books, family photos, and subtle nods to Chinese-American culture, like red paper lanterns and a tea set. Outside the window, the soft glow of city lights adds to the mood of love and secrecy.","In the quiet of a bustling New York City night, a reserved surgical resident and a free-spirited artist navigate the fragile space between tradition and authenticity—discovering that love, like identity, must be lived out loud, even when the world isn’t ready to listen.",,,"Two East Asian women in a cozy Chinatown kitchen at sunset, embracing lovingly — one wearing light blue scrubs, the other in a simple white dress. The woman in scrubs gently holds the other's face as they gaze into each other's eyes. Soft golden-hour backlight streams through a window with blurred neon Chinatown signs outside. Intimate, tender expressions; waist-up composition; cinematic photographic realism; shallow depth of field, 50mm lens, f/1.8; warm orange color grading, soft film grain, natural skin tones, high resolution. Do not depict or resemble any specific actor or an exact frame from an existing film.","When a hardworking nurse and a free-spirited shop clerk fall in love, their furtive relationship forces them to confront cultural duty, career pressures, and the courage it takes to choose each other.",,Between Shifts,,
